year;縣市;售電統計（度）;;;;
2014;新北市;20317012229;;;;
2014;臺北市;16245318941;;;;
2014;桃園市;25706045255;;;;
2014;臺中市;25202649662;;;;
2014;臺南市;29276538312;;;;
2014;高雄市;3327738450;;;;
2014;宜蘭縣;28063870494;;;;
2014;新竹縣;8536683498;;;;
2014;苗栗縣;7088403205;;;;
2014;彰化縣;10165144946;;;;
2014;南投縣;2717734125;;;;
2014;雲林縣;5291932983;;;;
2014;嘉義縣;2604560001;;;;
2014;屏東縣;4378977571;;;;
2014;臺東縣;886804818;;;;
2014;花蓮縣;2478227407;;;;
2014;澎湖縣;390042798;;;;
2014;基隆市;1491828045;;;;
2014;新竹市 ;10270124349;;;;
2014;嘉義市;1172692353;;;;
2014;金門縣 ;276992403;;;;
2014;連江縣;66633062;;;;
2015;新北市;20143108272;;;;
2015;臺北市;16175304284;;;;
2015;桃園市;27814412311;;;;
2015;臺中市;25886675077;;;;
2015;臺南市;25901501192;;;;
2015;高雄市;29088213862;;;;
2015;宜蘭縣;3274629279;;;;
2015;新竹縣;8815060629;;;;
2015;苗栗縣;6980845365;;;;
2015;彰化縣;10227862023;;;;
2015;南投縣;2696447833;;;;
2015;雲林縣;5418198413;;;;
2015;嘉義縣;2607554272;;;;
2015;屏東縣;4432654515;;;;
2015;臺東縣;919098341;;;;
2015;花蓮縣;2494490847;;;;
2015;澎湖縣;389948408;;;;
2015;基隆市;1450494904;;;;
2015;新竹市 ;10253935462;;;;
2015;嘉義市;1178182325;;;;
2015;金門縣 ;279882919;;;;
2015;連江縣;62765336;;;;
2016;新北市;20822425913;;;;
2016;臺北市;16531449703;;;;
2016;桃園市;28440496287;;;;
2016;臺中市;27349318781;;;;
2016;臺南市;26472702431;;;;
2016;高雄市;29965919976;;;;
2016;宜蘭縣;3349556688;;;;
2016;新竹縣;9311191475;;;;
2016;苗栗縣;7141648317;;;;
2016;彰化縣;10508323661;;;;
2016;南投縣;2761404205;;;;
2016;雲林縣;5505651796;;;;
2016;嘉義縣;2707505186;;;;
2016;屏東縣;4500899609;;;;
2016;臺東縣;941495231;;;;
2016;花蓮縣;2482256975;;;;
2016;澎湖縣;407407969;;;;
2016;基隆市;1484713104;;;;
2016;新竹市 ;10285624687;;;;
2016;嘉義市;1201509853;;;;
2016;金門縣 ;293147544;;;;
2016;連江縣;66620495;;;;
2017;新北市;21056065049;;;;
2017;臺北市;16391873642;;;;
2017;桃園市;28990540674;;;;
2017;臺中市;29320857695;;;;
2017;臺南市;26505507147;;;;
2017;高雄市;30826799839;;;;
2017;宜蘭縣;3321167343;;;;
2017;新竹縣;9719207894;;;;
2017;苗栗縣;7237807494;;;;
2017;彰化縣;10924310201;;;;
2017;南投縣;2782741283;;;;
2017;雲林縣;5760091243;;;;
2017;嘉義縣;2790218438;;;;
2017;屏東縣;4624404769;;;;
2017;臺東縣;936269832;;;;
2017;花蓮縣;2480881781;;;;
2017;澎湖縣;412984803;;;;
2017;基隆市;1483651965;;;;
2017;新竹市 ;10089571321;;;;
2017;嘉義市;1193241910;;;;
2017;金門縣 ;293848090;;;;
2017;連江縣;71443544;;;;
2018;新北市;21059282630;;;;
2018;臺北市;16193209265;;;;
2018;桃園市;29035920505;;;;
2018;臺中市;30843034098;;;;
2018;臺南市;26448058280;;;;
2018;高雄市;30954805424;;;;
2018;宜蘭縣;3365314938;;;;
2018;新竹縣;9876580554;;;;
2018;苗栗縣;7140953478;;;;
2018;彰化縣;11169672336;;;;
2018;南投縣;2823013718;;;;
2018;雲林縣;5765592992;;;;
2018;嘉義縣;2860678559;;;;
2018;屏東縣;4611855849;;;;
2018;臺東縣;939135671;;;;
2018;花蓮縣;2442012955;;;;
2018;澎湖縣;429193835;;;;
2018;基隆市;1456997388;;;;
2018;新竹市 ;10153101214;;;;
2018;嘉義市;1173345557;;;;
2018;金門縣 ;296728597;;;;
2018;連江縣;69517139;;;;
2019;新北市;20967538845;;;;
2019;臺北市;16104112613;;;;
2019;桃園市;28282794776;;;;
2019;臺中市;31482790422;;;;
2019;臺南市;27027339025;;;;
2019;高雄市;30623001323;;;;
2019;宜蘭縣;3371441194;;;;
2019;新竹縣;9633475780;;;;
2019;苗栗縣;6828589117;;;;
2019;彰化縣;11238052645;;;;
2019;南投縣;2789280675;;;;
2019;雲林縣;5790139513;;;;
2019;嘉義縣;2812850084;;;;
2019;屏東縣;4713253196;;;;
2019;臺東縣;960531070;;;;
2019;花蓮縣;2433404639;;;;
2019;澎湖縣;446086674;;;;
2019;基隆市;1460756541;;;;
2019;新竹市 ;10216185625;;;;
2019;嘉義市;1172170334;;;;
2019;金門縣 ;300800603;;;;
2019;連江縣;72046022;;;;
2020;新北市;21379150500;;;;
2020;臺北市;16115286702;;;;
2020;桃園市;28194559336;;;;
2020;臺中市;33073380154;;;;
2020;臺南市;28977669742;;;;
2020;高雄市;31189848128;;;;
2020;宜蘭縣;3460782313;;;;
2020;新竹縣;9716215241;;;;
2020;苗栗縣;7173513178;;;;
2020;彰化縣;11330142478;;;;
2020;南投縣;2841884870;;;;
2020;雲林縣;6027509204;;;;
2020;嘉義縣;2919447548;;;;
2020;屏東縣;4886414827;;;;
2020;臺東縣;986736049;;;;
2020;花蓮縣;2485806038;;;;
2020;澎湖縣;457316598;;;;
2020;基隆市;1481789976;;;;
2020;新竹市 ;10532415165;;;;
2020;嘉義市;1207245258;;;;
2020;金門縣 ;299679758;;;;
2020;連江縣;75742971;;;;
2021;新北市;22372413327;;;;
2021;臺北市;15986169323;;;;
2021;桃園市;30314306207;;;;
2021;臺中市;34743201021;;;;
2021;臺南市;30777564380;;;;
2021;高雄市;32276181013;;;;
2021;宜蘭縣;3590071535;;;;
2021;新竹縣;10035477564;;;;
2021;苗栗縣;7918197661;;;;
2021;彰化縣;12065909429;;;;
2021;南投縣;2987026269;;;;
2021;雲林縣;6079902111;;;;
2021;嘉義縣;3202463674;;;;
2021;屏東縣;4955042816;;;;
2021;臺東縣;995542292;;;;
2021;花蓮縣;2551308166;;;;
2021;澎湖縣;454470439;;;;
2021;基隆市;1515579452;;;;
2021;新竹市 ;10932541977;;;;
2021;嘉義市;1205790205;;;;
2021;金門縣 ;304394332;;;;
2021;連江縣;77358348;;;;
2022;新北市;21859997323;;;;
2022;臺北市;15762000028;;;;
2022;桃園市;30103129654;;;;
2022;臺中市;34592752801;;;;
2022;臺南市;32274889786;;;;
2022;高雄市;32353616259;;;;
2022;宜蘭縣;3610453600;;;;
2022;新竹縣;11038574945;;;;
2022;苗栗縣;7745601620;;;;
2022;彰化縣;11688570638;;;;
2022;南投縣;2921703647;;;;
2022;雲林縣;6523300580;;;;
2022;嘉義縣;3534630061;;;;
2022;屏東縣;5054973977;;;;
2022;臺東縣;1035319581;;;;
2022;花蓮縣;2583123577;;;;
2022;澎湖縣;470740250;;;;
2022;基隆市;1504954089;;;;
2022;新竹市 ;10492419313;;;;
2022;嘉義市;1218720709;;;;
2022;金門縣 ;311577424;;;;
2022;連江縣;81669891;;;;
2023;新北市;21850735027;;;;
2023;臺北市;15985484904;;;;
2023;桃園市;28833853984;;;;
2023;臺中市;34023783877;;;;
2023;臺南市;33225856909;;;;
2023;高雄市;31254330360;;;;
2023;宜蘭縣;3616898686;;;;
2023;新竹縣;11818876605;;;;
2023;苗栗縣;7725848431;;;;
2023;彰化縣;11153478835;;;;
2023;南投縣;2875139244;;;;
2023;雲林縣;5855337730;;;;
2023;嘉義縣;3237309693;;;;
2023;屏東縣;5046507156;;;;
2023;臺東縣;1037869543;;;;
2023;花蓮縣;2499199411;;;;
2023;澎湖縣;477448747;;;;
2023;基隆市;1515481029;;;;
2023;新竹市 ;9391082355;;;;
2023;嘉義市;1214749887;;;;
2023;金門縣 ;316738746;;;;
2023;連江縣;82410382;;;;