;;戶籍登記人口數(人)
2014;總計;23.433.753
2014;臺灣地區;23.293.524
2014;新北市;3.966.818
2014;臺北市;2.702.315
2014;桃園市;2.058.328
2014;臺中市;2.719.835
2014;臺南市;1.884.284
2014;高雄市;2.778.992
2014;宜蘭縣;458.777
2014;新竹縣;537.630
2014;苗栗縣;567.132
2014;彰化縣;1.291.474
2014;南投縣;514.315
2014;雲林縣;705.356
2014;嘉義縣;524.783
2014;屏東縣;847.917
2014;臺東縣;224.470
2014;花蓮縣;333.392
2014;澎湖縣;101.758
2014;基隆市;373.077
2014;新竹市;431.988
2014;嘉義市;270.883
2014;金門縣;127.723
2014;連江縣;12.506
2015;總計;23.492.074
2015;臺灣地區;23.346.728
2015;新北市;3.970.644
2015;臺北市;2.704.810
2015;桃園市;2.105.780
2015;臺中市;2.744.445
2015;臺南市;1.885.541
2015;高雄市;2.778.918
2015;宜蘭縣;458.117
2015;新竹縣;542.042
2015;苗栗縣;563.912
2015;彰化縣;1.289.072
2015;南投縣;509.490
2015;雲林縣;699.633
2015;嘉義縣;519.839
2015;屏東縣;841.253
2015;臺東縣;222.452
2015;花蓮縣;331.945
2015;澎湖縣;102.304
2015;基隆市;372.105
2015;新竹市;434.060
2015;嘉義市;270.366
2015;金門縣;132.799
2015;連江縣;12.547
2016;總計;23.539.816
2016;臺灣地區;23.392.107
2016;新北市;3.979.208
2016;臺北市;2.695.704
2016;桃園市;2.147.763
2016;臺中市;2.767.239
2016;臺南市;1.886.033
2016;高雄市;2.779.371
2016;宜蘭縣;457.538
2016;新竹縣;547.481
2016;苗栗縣;559.189
2016;彰化縣;1.287.146
2016;南投縣;505.163
2016;雲林縣;694.873
2016;嘉義縣;515.320
2016;屏東縣;835.792
2016;臺東縣;220.802
2016;花蓮縣;330.911
2016;澎湖縣;103.263
2016;基隆市;372.100
2016;新竹市;437.337
2016;嘉義市;269.874
2016;金門縣;135.114
2016;連江縣;12.595
2017;總計;23.571.227
2017;臺灣地區;23.420.891
2017;新北市;3.986.689
2017;臺北市;2.683.257
2017;桃園市;2.188.017
2017;臺中市;2.787.070
2017;臺南市;1.886.522
2017;高雄市;2.776.912
2017;宜蘭縣;456.607
2017;新竹縣;552.169
2017;苗栗縣;553.807
2017;彰化縣;1.282.458
2017;南投縣;501.051
2017;雲林縣;690.373
2017;嘉義縣;511.182
2017;屏東縣;829.939
2017;臺東縣;219.540
2017;花蓮縣;329.237
2017;澎湖縣;104.073
2017;基隆市;371.458
2017;新竹市;441.132
2017;嘉義市;269.398
2017;金門縣;137.456
2017;連江縣;12.880
2018;總計;23.588.932
2018;臺灣地區;23.436.603
2018;新北市;3.995.717
2018;臺北市;2.668.572
2018;桃園市;2.220.872
2018;臺中市;2.803.894
2018;臺南市;1.883.831
2018;高雄市;2.773.533
2018;宜蘭縣;455.221
2018;新竹縣;557.010
2018;苗栗縣;548.863
2018;彰化縣;1.277.824
2018;南投縣;497.031
2018;雲林縣;686.022
2018;嘉義縣;507.068
2018;屏東縣;825.406
2018;臺東縣;218.919
2018;花蓮縣;327.968
2018;澎湖縣;104.440
2018;基隆市;370.155
2018;新竹市;445.635
2018;嘉義市;268.622
2018;金門縣;139.273
2018;連江縣;13.056
2019;總計;23.603.121
2019;臺灣地區;23.449.847
2019;新北市;4.018.696
2019;臺北市;2.645.041
2019;桃園市;2.249.037
2019;臺中市;2.815.261
2019;臺南市;1.880.906
2019;高雄市;2.773.198
2019;宜蘭縣;454.178
2019;新竹縣;563.933
2019;苗栗縣;545.459
2019;彰化縣;1.272.802
2019;南投縣;494.112
2019;雲林縣;681.306
2019;嘉義縣;503.113
2019;屏東縣;819.184
2019;臺東縣;216.781
2019;花蓮縣;326.247
2019;澎湖縣;105.207
2019;基隆市;368.893
2019;新竹市;448.803
2019;嘉義市;267.690
2019;金門縣;140.185
2019;連江縣;13.089
2020;總計;23.561.236
2020;臺灣地區;23.407.360
2020;新北市;4.030.954
2020;臺北市;2.602.418
2020;桃園市;2.268.807
2020;臺中市;2.820.787
2020;臺南市;1.874.917
2020;高雄市;2.765.932
2020;宜蘭縣;453.087
2020;新竹縣;570.775
2020;苗栗縣;542.590
2020;彰化縣;1.266.670
2020;南投縣;490.832
2020;雲林縣;676.873
2020;嘉義縣;499.481
2020;屏東縣;812.658
2020;臺東縣;215.261
2020;花蓮縣;324.372
2020;澎湖縣;105.952
2020;基隆市;367.577
2020;新竹市;451.412
2020;嘉義市;266.005
2020;金門縣;140.597
2020;連江縣;13.279
2021;總計;23.375.314
2021;臺灣地區;23.220.130
2021;新北市;4.008.113
2021;臺北市;2.524.393
2021;桃園市;2.272.391
2021;臺中市;2.813.490
2021;臺南市;1.862.059
2021;高雄市;2.744.691
2021;宜蘭縣;450.692
2021;新竹縣;575.580
2021;苗栗縣;538.178
2021;彰化縣;1.255.330
2021;南投縣;484.897
2021;雲林縣;670.132
2021;嘉義縣;493.316
2021;屏東縣;804.440
2021;臺東縣;213.386
2021;花蓮縣;321.358
2021;澎湖縣;106.340
2021;基隆市;363.977
2021;新竹市;452.640
2021;嘉義市;264.727
2021;金門縣;141.539
2021;連江縣;13.645
2022;總計;23.264.640
2022;臺灣地區;23.109.362
2022;新北市;3.995.551
2022;臺北市;2.480.681
2022;桃園市;2.281.464
2022;臺中市;2.814.459
2022;臺南市;1.852.997
2022;高雄市;2.728.137
2022;宜蘭縣;449.062
2022;新竹縣;580.503
2022;苗栗縣;535.132
2022;彰化縣;1.245.239
2022;南投縣;479.595
2022;雲林縣;664.092
2022;嘉義縣;488.158
2022;屏東縣;798.703
2022;臺東縣;212.551
2022;花蓮縣;318.892
2022;澎湖縣;107.223
2022;基隆市;361.526
2022;新竹市;452.473
2022;嘉義市;262.924
2022;金門縣;141.295
2022;連江縣;13.983
2023;總計;23.420.442
2023;臺灣地區;23.262.254
2023;新北市;4.041.120
2023;臺北市;2.511.886
2023;桃園市;2.317.445
2023;臺中市;2.845.909
2023;臺南市;1.859.946
2023;高雄市;2.737.941
2023;宜蘭縣;449.890
2023;新竹縣;589.289
2023;苗栗縣;534.575
2023;彰化縣;1.239.048
2023;南投縣;477.094
2023;雲林縣;659.468
2023;嘉義縣;484.560
2023;屏東縣;794.997
2023;臺東縣;211.544
2023;花蓮縣;317.489
2023;澎湖縣;107.739
2023;基隆市;362.255
2023;新竹市;456.475
2023;嘉義市;263.584
2023;金門縣;144.149
2023;連江縣;14.039